Concept,elb_concept/prefLabel?,broader_pomoc,POMOC,literackie tak/nie/nie_wiem,exactMatch,narrowMatch,broadMatch,LOC_ID/exactMatch?close?,altLabel fin_a,Fi_Id/exactMatch?close?,altLabel cze_a,Cze_ID/exactMatch?close?,altLabel field_a_esp,esp_ID_exactMatch?close?,slownik_Hubar/exactMatch?close?,altLabel_pl
libri_thesauri_13826,literature,['writings'],FALSE,tak,['http://www.wikidata.org/entity/Q8242'],"['libri_thesauri_1972', 'libri_thesauri_2030', 'libri_thesauri_2540', 'libri_thesauri_1973', 'libri_thesauri_10762', 'libri_thesauri_2156', 'libri_thesauri_1978', 'libri_thesauri_2848', 'libri_thesauri_2055', 'libri_thesauri_1974', 'libri_thesauri_854', 'libri_thesauri_3368', 'libri_thesauri_3042', 'libri_thesauri_2630', 'libri_thesauri_2044', 'libri_thesauri_1975', 'libri_thesauri_3087', 'libri_thesauri_2052', 'libri_thesauri_2051', 'libri_thesauri_8458', 'libri_thesauri_2053', 'libri_thesauri_3510', 'libri_thesauri_3773', 'libri_thesauri_2056', 'libri_thesauri_1985', 'libri_thesauri_2046', 'libri_thesauri_533', 'libri_thesauri_3349', 'libri_thesauri_1976', 'libri_thesauri_945', 'libri_thesauri_6399', 'libri_thesauri_3003', 'libri_thesauri_10081', 'libri_thesauri_6262', 'libri_thesauri_1333', 'libri_thesauri_11089', 'libri_thesauri_837', 'libri_thesauri_12742', 'libri_thesauri_2027', 'libri_thesauri_1736', 'libri_thesauri_2054', 'libri_thesauri_13770', 'libri_thesauri_11428', 'libri_thesauri_7263', 'libri_thesauri_13385', 'libri_thesauri_9108', 'libri_thesauri_12090', 'libri_thesauri_2040', 'libri_thesauri_2031', 'libri_thesauri_5121', 'libri_thesauri_13604', 'libri_thesauri_6775', 'libri_thesauri_5120', 'libri_thesauri_2484', 'libri_thesauri_3949', 'libri_thesauri_5735', 'libri_thesauri_7007', 'libri_thesauri_12736', 'libri_thesauri_13915', 'libri_thesauri_12698', 'libri_thesauri_6485', 'libri_thesauri_5667', 'libri_thesauri_12454', 'libri_thesauri_9191', 'libri_thesauri_6940', 'libri_thesauri_5268', 'libri_thesauri_14634', 'libri_thesauri_6945', 'libri_thesauri_10811', 'libri_thesauri_6440', 'libri_thesauri_9048', 'libri_thesauri_10985', 'libri_thesauri_10889', 'libri_thesauri_8271', 'libri_thesauri_7433', 'libri_thesauri_9192', 'libri_thesauri_13825', 'libri_thesauri_10886', 'libri_thesauri_5257', 'libri_thesauri_4339', 'libri_thesauri_10858', 'libri_thesauri_13835', 'libri_thesauri_8365', 'libri_thesauri_8380', 'libri_thesauri_13437', 'libri_thesauri_10945', 'libri_thesauri_13692', 'libri_thesauri_10966', 'libri_thesauri_10875', 'libri_thesauri_10930', 'libri_thesauri_7513', 'libri_thesauri_5058', 'libri_thesauri_10823', 'libri_thesauri_6939', 'libri_thesauri_10959', 'libri_thesauri_10969', 'libri_thesauri_9246', 'libri_thesauri_7253', 'libri_thesauri_7660', 'libri_thesauri_7157', 'libri_thesauri_6048', 'libri_thesauri_9938', 'libri_thesauri_7774', 'libri_thesauri_6296', 'libri_thesauri_10490', 'libri_thesauri_14596', 'libri_thesauri_5037', 'libri_thesauri_10952', 'libri_thesauri_9194', 'libri_thesauri_14284', 'libri_thesauri_11707', 'libri_thesauri_4566', 'libri_thesauri_10251', 'libri_thesauri_13889', 'libri_thesauri_4584', 'libri_thesauri_3942', 'libri_thesauri_6858', 'libri_thesauri_1789', 'libri_thesauri_1919', 'libri_thesauri_642', 'libri_thesauri_3819', 'libri_thesauri_2246']",['libri_thesauri_3813'],['sh85077507'],['kirjallisuus'],['http://www.yso.fi/onto/yso/p8113'],['literatura'],['ph117222'],[],[],[],
libri_thesauri_2048,literary society,"['voluntary association', 'art society', 'literary society']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q497893'],"['libri_thesauri_9952', 'libri_thesauri_2048']","['libri_thesauri_5846', 'libri_thesauri_409', 'libri_thesauri_2048']",['sh85077527'],[],[],"['literární společnosti', 'literární spolky']","['ph122398', 'ph370248']",[],[],[],
libri_thesauri_9108,experimental literature,"['law', 'literature', 'fiction']",FALSE,tak,['http://www.wikidata.org/entity/Q1384425'],['libri_thesauri_1281'],"['libri_thesauri_6496', 'libri_thesauri_13826', 'libri_thesauri_11707']",['sh85077546'],['kokeellinen kirjallisuus'],['http://www.yso.fi/onto/yso/p21541'],['experimentální literatura'],['ph883752'],[],[],[],
libri_thesauri_2156,medieval literature,"['law', 'literature']",FALSE,tak,['http://www.wikidata.org/entity/Q963619'],"['libri_thesauri_2163', 'libri_thesauri_647', 'libri_thesauri_1292', 'libri_thesauri_2160']","['libri_thesauri_6496', 'libri_thesauri_13826']",['sh85077548'],[],[],['středověká literatura'],['ph126230'],[],[],[],
libri_thesauri_9192,Lithuanian literature,['literature'],FALSE,tak,['http://www.wikidata.org/entity/Q1549032'],,['libri_thesauri_13826'],['sh85077648'],['liettuankielinen kirjallisuus'],['http://www.yso.fi/onto/yso/p21819'],['litevská literatura'],['ph122410'],['Literatura lituana'],['XX549798'],[],
libri_thesauri_2047,literary scholar,['scientist'],FALSE,tak,['http://www.wikidata.org/entity/Q17167049'],"['libri_thesauri_2032', 'libri_thesauri_11978', 'libri_thesauri_2038']",['libri_thesauri_4600'],['sh85077672'],[],[],"['literární vědci', 'literární vědkyně']","['ph122402', 'ph798337']",[],[],[],
libri_thesauri_14508,roman à clef,['novel'],TRUE,tak,['http://www.wikidata.org/entity/Q512207'],,['libri_thesauri_8085'],['sh85077825'],['avainromaanit'],['http://www.yso.fi/onto/yso/p9602'],[],[],[],[],[],
libri_thesauri_2071,love poetry,"['Christian literature', 'poetry', 'religious poetry', 'romance']",FALSE,tak,['http://www.wikidata.org/entity/Q10296750'],,"['libri_thesauri_10520', 'libri_thesauri_2574', 'libri_thesauri_3025', 'libri_thesauri_3087']",['sh85078539'],[],[],['milostná poezie'],['ph217893'],[],[],[],
libri_thesauri_8219,romance novel,['novel'],TRUE,tak,['http://www.wikidata.org/entity/Q858330'],,['libri_thesauri_8085'],['sh85078595'],"['rakkauskertomukset', 'rakkausromaanit']","['http://www.yso.fi/onto/yso/p19257', 'http://www.yso.fi/onto/yso/p19812']",['milostný román'],['ph122875'],[],[],[],
libri_thesauri_3478,the real wonderful,['literary movement'],FALSE,tak,['http://www.wikidata.org/entity/Q24205155'],,['libri_thesauri_2042'],['sh85079627'],[],[],['magický realismus (literatura)'],['ph218864'],[],[],[],
